Gender,ParentEdu,ParentMaritalStatus,ExtraCurricular,IsFirstChild,Siblings,Transportation,AvgReadingScore,AvgWritingScore,traveltime,studytime,internet,freetime,absences,CGPA
male,high school,single,sometimes,yes,2,school_bus,78,75,1,2,yes,4,2,B
female,some high school,married,regularly,yes,,private,86,90,3,2,yes,3,2,C
female,high school,divorced,sometimes,yes,2,private,41,43,1,2,yes,3,2,F
female,associate's degree,married,sometimes,yes,3,school_bus,86,87,2,1,no,5,6,B
male,associate's degree,single,sometimes,no,2,private,55,49,1,1,yes,3,0,F
male,,married,regularly,no,1,private,60,60,1,1,yes,3,6,D
female,some high school,single,regularly,yes,3,school_bus,17,10,1,2,yes,3,8,F
male,some high school,married,sometimes,yes,,school_bus,39,34,1,2,yes,3,0,F
male,associate's degree,married,sometimes,yes,5,private,61,55,1,2,no,2,4,D
female,some high school,married,sometimes,yes,0,school_bus,58,59,1,2,yes,3,2,F
male,some high school,married,never,yes,1,private,62,58,1,2,yes,2,2,D
male,some high school,married,sometimes,yes,4,school_bus,37,37,1,2,no,4,6,F
female,some college,married,regularly,no,3,school_bus,73,75,4,1,yes,5,6,D
male,associate's degree,divorced,regularly,no,3,school_bus,58,57,1,2,yes,4,4,D
female,associate's degree,single,sometimes,yes,3,school_bus,64,57,1,3,yes,4,2,F
male,some college,divorced,sometimes,yes,3,private,55,64,1,2,yes,4,0,D
female,associate's degree,single,regularly,yes,1,private,51,49,3,2,yes,4,2,F
male,some high school,divorced,never,yes,3,school_bus,56,54,1,4,yes,3,4,F
male,some high school,married,sometimes,yes,2,private,48,40,1,4,yes,3,4,F
male,associate's degree,divorced,sometimes,no,,school_bus,41,38,2,2,yes,1,2,F
male,some high school,,sometimes,no,5,school_bus,25,21,2,4,yes,4,12,F
male,,,regularly,yes,,,79,83,2,4,yes,3,0,B
female,some high school,divorced,sometimes,yes,2,school_bus,75,73,1,4,yes,3,0,D
female,master's degree,divorced,never,yes,1,school_bus,68,68,1,2,yes,3,2,D
female,associate's degree,married,regularly,yes,0,private,50,52,1,1,no,3,2,F
male,high school,married,sometimes,yes,0,private,45,45,1,2,yes,3,54,F
male,some college,married,sometimes,no,,school_bus,47,54,1,2,yes,3,6,F
male,associate's degree,married,regularly,yes,0,private,64,64,2,4,yes,4,8,C
male,high school,married,never,,3,private,38,33,1,4,yes,2,0,F
female,some college,divorced,sometimes,yes,0,private,80,82,2,1,yes,5,2,C
female,some college,married,sometimes,yes,,school_bus,81,86,1,2,yes,4,12,C
female,associate's degree,single,sometimes,yes,0,private,71,74,1,1,yes,2,2,C
female,some college,divorced,regularly,yes,3,school_bus,69,67,1,3,yes,3,4,F
female,some high school,single,sometimes,yes,,private,87,83,1,2,yes,4,10,C
male,high school,divorced,regularly,no,4,,34,36,2,2,yes,3,4,F
male,high school,divorced,sometimes,no,1,,77,69,1,2,yes,3,2,D
male,associate's degree,married,regularly,no,3,private,46,52,2,2,yes,4,6,F
female,some college,married,regularly,yes,4,private,87,94,1,2,no,3,4,B
male,some high school,married,regularly,yes,5,school_bus,65,61,1,3,yes,3,4,D
female,some college,married,never,yes,0,school_bus,69,66,2,2,yes,4,12,F
female,some college,single,regularly,yes,2,,69,64,1,2,no,1,18,D
female,bachelor's degree,married,regularly,yes,3,school_bus,66,62,1,3,yes,3,0,D
male,some college,married,sometimes,no,7,school_bus,67,67,1,1,yes,5,4,C
male,bachelor's degree,single,sometimes,no,1,private,74,74,1,2,no,3,4,D
female,associate's degree,married,regularly,yes,3,school_bus,92,91,2,2,yes,3,0,B
male,high school,married,regularly,no,3,school_bus,44,48,1,4,yes,3,6,D
male,some college,married,regularly,yes,1,school_bus,88,94,2,4,yes,1,2,A
female,some college,married,sometimes,yes,0,school_bus,67,72,2,1,yes,3,2,F
female,master's degree,married,sometimes,no,3,private,100,100,1,2,no,3,2,B
male,,single,sometimes,yes,0,school_bus,63,64,1,1,yes,3,6,D
female,associate's degree,married,sometimes,yes,2,school_bus,76,70,1,3,yes,3,0,F
female,some high school,single,regularly,no,3,school_bus,64,73,1,1,yes,5,14,C
female,associate's degree,single,sometimes,yes,4,school_bus,90,99,1,3,yes,4,0,C
male,high school,single,regularly,no,6,,55,50,1,1,yes,3,4,D
male,associate's degree,married,sometimes,yes,0,school_bus,53,47,2,2,yes,3,26,F
female,some college,married,never,yes,1,school_bus,56,51,1,2,yes,4,0,F
female,bachelor's degree,married,regularly,yes,3,school_bus,99,100,1,4,no,3,10,A
male,high school,married,sometimes,yes,4,private,77,74,1,4,yes,1,8,B
female,bachelor's degree,single,never,no,1,school_bus,83,79,1,3,yes,3,2,C
female,bachelor's degree,married,never,no,2,private,80,77,4,4,yes,3,6,C
female,some high school,single,regularly,yes,0,private,64,63,1,3,yes,4,4,F
female,some college,divorced,sometimes,no,3,school_bus,69,65,1,1,yes,5,6,F
female,bachelor's degree,married,never,yes,1,school_bus,90,86,1,3,yes,1,0,C
male,associate's degree,married,sometimes,yes,3,school_bus,87,90,1,2,yes,1,6,B
female,some college,single,regularly,yes,1,,94,95,1,1,yes,5,10,A
male,high school,married,sometimes,no,3,private,57,56,1,2,yes,4,8,D
male,some college,single,regularly,no,3,school_bus,79,73,1,2,yes,4,2,B
female,high school,single,never,yes,2,school_bus,94,85,2,2,no,4,2,B
male,,married,,no,3,private,68,67,2,1,yes,4,0,C
male,some college,married,regularly,no,3,school_bus,76,74,3,2,yes,2,20,D
male,master's degree,single,never,yes,2,private,81,72,1,1,yes,4,6,C
female,bachelor's degree,,regularly,yes,0,school_bus,49,52,1,2,yes,2,2,F
male,master's degree,single,sometimes,no,1,school_bus,84,82,1,4,yes,5,6,B
male,some high school,single,regularly,yes,1,private,36,40,2,2,yes,2,2,F
male,some college,married,regularly,yes,2,school_bus,75,71,1,1,yes,4,18,B
female,some college,married,never,no,6,,78,80,1,2,yes,4,0,C
male,bachelor's degree,married,sometimes,yes,1,private,80,76,1,1,yes,5,0,C
male,bachelor's degree,married,sometimes,yes,1,,54,47,1,2,yes,3,0,F
male,some high school,divorced,sometimes,yes,1,private,54,41,1,2,no,4,2,F
male,high school,divorced,sometimes,yes,0,school_bus,54,54,1,1,yes,3,0,D
female,associate's degree,married,sometimes,yes,1,private,66,67,1,1,yes,5,8,F
male,some college,married,sometimes,yes,0,private,61,70,2,3,yes,2,0,C
female,some high school,married,sometimes,no,1,school_bus,72,71,3,1,yes,3,0,C
female,some college,married,regularly,no,2,private,62,65,1,1,yes,4,12,D
female,some college,single,regularly,,1,private,54,54,1,1,yes,2,16,F
male,high school,single,sometimes,no,1,school_bus,43,47,4,2,no,3,0,F
male,some college,divorced,sometimes,yes,3,private,74,79,1,3,yes,3,0,A
female,some college,single,regularly,yes,1,school_bus,38,33,3,2,no,4,0,F
female,bachelor's degree,married,sometimes,yes,1,private,73,79,2,1,yes,3,0,D
male,associate's degree,married,regularly,no,3,private,100,95,1,2,no,4,0,A
male,some high school,married,sometimes,no,2,private,67,69,2,1,yes,3,0,D
female,associate's degree,single,sometimes,yes,2,school_bus,68,64,2,4,yes,2,0,F
male,bachelor's degree,married,sometimes,no,1,,49,47,2,1,yes,3,8,F
male,some high school,single,never,no,2,,65,58,1,3,yes,2,2,F
female,some college,married,regularly,yes,3,school_bus,88,88,1,1,yes,4,2,D
female,high school,married,regularly,yes,1,school_bus,75,79,1,1,yes,4,0,D
male,,,sometimes,yes,2,school_bus,59,58,1,2,yes,4,0,F
female,associate's degree,divorced,regularly,yes,2,private,87,89,1,2,yes,3,0,D
male,associate's degree,married,regularly,no,3,school_bus,63,66,1,2,yes,3,2,C
male,associate's degree,single,sometimes,yes,2,private,78,74,1,1,yes,3,0,B
female,some college,married,sometimes,yes,3,school_bus,88,85,4,1,yes,5,0,C
male,master's degree,single,never,no,2,school_bus,53,52,1,1,yes,3,0,F
male,high school,divorced,sometimes,yes,1,school_bus,53,49,1,1,no,4,6,F
female,master's degree,married,never,yes,3,private,89,86,2,3,yes,2,8,C
female,bachelor's degree,married,sometimes,yes,0,school_bus,100,100,1,1,yes,5,0,A
male,high school,single,sometimes,yes,5,private,51,51,1,1,no,2,0,F
female,master's degree,married,regularly,no,1,private,79,83,1,2,no,4,2,D
female,high school,married,regularly,yes,2,private,84,79,1,1,no,2,8,C
male,high school,divorced,regularly,yes,5,school_bus,75,77,3,1,no,2,6,C
male,some high school,married,sometimes,no,3,school_bus,86,76,3,1,no,2,2,A
female,some college,single,never,yes,3,school_bus,84,78,1,2,yes,5,4,C
female,associate's degree,married,sometimes,yes,2,school_bus,67,70,2,1,yes,3,0,D
female,bachelor's degree,married,sometimes,no,1,school_bus,50,52,2,2,yes,4,6,F
female,master's degree,divorced,sometimes,yes,1,school_bus,92,89,2,1,no,4,0,B
female,high school,married,sometimes,no,2,school_bus,53,56,1,1,yes,3,2,F
female,associate's degree,married,regularly,yes,,school_bus,76,77,4,2,no,3,0,C
female,master's degree,divorced,regularly,yes,2,school_bus,72,65,2,1,no,5,16,F
female,some high school,divorced,regularly,yes,0,school_bus,100,100,1,2,yes,3,4,A
male,master's degree,single,sometimes,yes,2,private,68,75,1,2,yes,2,0,D
female,some college,single,sometimes,yes,1,private,64,66,1,2,yes,1,0,F
female,high school,married,sometimes,yes,3,private,50,47,1,2,yes,4,0,F
female,associate's degree,single,sometimes,no,,private,67,68,3,1,yes,4,0,D
male,associate's degree,married,never,yes,5,private,65,62,2,2,yes,3,2,D
male,high school,married,never,yes,1,school_bus,73,62,1,2,yes,4,0,C
male,some high school,married,sometimes,no,4,private,66,68,1,2,yes,3,0,D
male,some high school,married,regularly,no,3,school_bus,51,45,2,2,yes,4,4,F
female,bachelor's degree,single,sometimes,yes,1,school_bus,86,85,2,2,yes,4,4,C
female,associate's degree,married,sometimes,yes,2,school_bus,65,69,2,2,yes,4,2,D
male,some college,married,sometimes,no,2,school_bus,81,77,1,2,yes,3,4,C
female,some high school,single,sometimes,no,3,private,64,66,1,1,yes,3,10,D
male,some college,married,regularly,yes,4,,62,63,1,2,yes,2,4,C
female,master's degree,,regularly,yes,1,school_bus,85,87,1,2,yes,4,10,D
male,associate's degree,married,regularly,no,4,school_bus,54,52,1,2,yes,2,2,D
male,,married,never,yes,1,school_bus,67,63,1,2,no,4,0,F
male,high school,married,,no,7,private,56,52,1,2,yes,3,56,F
female,some college,widowed,regularly,yes,3,,54,57,1,2,yes,2,14,F
female,bachelor's degree,married,regularly,yes,3,private,80,77,1,2,yes,3,12,B
female,associate's degree,single,regularly,no,1,private,83,86,1,1,yes,3,2,D
female,some college,divorced,sometimes,yes,3,school_bus,79,75,1,2,yes,2,0,D
male,associate's degree,married,sometimes,yes,2,school_bus,77,69,1,2,yes,3,6,D
female,associate's degree,,regularly,yes,2,school_bus,70,69,1,2,no,1,4,F
male,some college,single,regularly,yes,1,,40,42,1,2,yes,3,10,F
male,some high school,married,,yes,,school_bus,69,76,1,2,yes,3,0,C
male,bachelor's degree,married,regularly,yes,4,school_bus,62,63,2,2,yes,4,12,B
male,high school,married,regularly,no,2,school_bus,81,77,1,1,yes,3,8,B
female,some college,married,regularly,yes,1,private,80,76,2,1,yes,3,0,C
female,some college,single,sometimes,no,2,,61,66,1,2,yes,3,0,F
male,some high school,widowed,sometimes,yes,3,school_bus,77,77,1,1,yes,2,4,C
male,some college,married,sometimes,yes,3,school_bus,28,27,3,1,yes,3,8,F
female,high school,divorced,sometimes,yes,2,school_bus,62,60,2,1,yes,2,24,F
male,associate's degree,single,regularly,no,1,school_bus,51,57,1,2,yes,5,0,D
male,high school,married,sometimes,yes,1,private,91,81,1,2,yes,3,2,B
male,some high school,,regularly,no,2,private,84,76,1,2,no,4,6,B
female,associate's degree,married,sometimes,yes,3,school_bus,84,86,1,2,no,4,4,B
female,high school,married,regularly,no,3,,41,39,1,1,yes,3,18,F
male,high school,married,sometimes,no,2,school_bus,75,68,2,4,yes,3,6,D
male,some high school,single,never,no,1,,55,54,1,3,yes,4,28,F
female,high school,widowed,regularly,yes,4,school_bus,69,75,1,2,yes,3,5,F
male,associate's degree,married,sometimes,yes,0,school_bus,86,74,1,2,yes,3,10,B
female,some high school,divorced,sometimes,no,3,,65,62,2,1,no,3,6,F
male,some high school,married,regularly,no,3,school_bus,81,76,2,3,yes,4,6,B
female,associate's degree,divorced,regularly,,3,school_bus,67,76,1,4,yes,3,10,F
female,master's degree,married,sometimes,no,,private,55,52,1,2,yes,3,13,F
female,some college,married,sometimes,yes,5,school_bus,72,71,1,2,yes,3,0,C
male,high school,single,regularly,yes,0,school_bus,50,55,1,2,yes,4,15,F
male,,divorced,sometimes,no,4,school_bus,72,64,1,1,no,2,12,D
female,some college,married,regularly,yes,3,school_bus,97,98,2,2,yes,4,2,A
male,some college,married,regularly,yes,0,,64,67,1,2,yes,4,22,C
male,associate's degree,married,regularly,,1,private,43,43,1,2,yes,2,13,F
female,bachelor's degree,married,sometimes,yes,2,school_bus,86,83,2,1,no,3,3,D
male,some high school,divorced,sometimes,yes,3,school_bus,88,79,1,3,yes,3,4,A
male,bachelor's degree,married,sometimes,no,3,school_bus,83,85,2,2,yes,2,2,B
male,associate's degree,married,regularly,no,1,school_bus,77,80,1,3,no,3,0,B
male,bachelor's degree,divorced,regularly,no,2,school_bus,65,67,1,2,yes,3,2,D
female,some high school,married,sometimes,yes,4,school_bus,59,72,2,2,yes,3,0,D
male,some college,married,regularly,yes,2,private,53,53,1,3,yes,3,0,F
male,associate's degree,,sometimes,yes,1,private,80,80,1,2,yes,3,16,B
male,high school,divorced,,yes,1,private,69,67,1,2,yes,3,10,C
female,bachelor's degree,single,regularly,no,4,private,84,85,1,2,yes,3,2,B
male,some college,single,regularly,no,2,school_bus,50,43,4,2,yes,3,14,F
male,some high school,divorced,regularly,yes,1,school_bus,73,69,2,3,yes,2,10,C
male,associate's degree,married,sometimes,no,3,private,74,69,1,2,yes,2,14,B
male,associate's degree,married,regularly,no,2,school_bus,77,75,2,2,yes,5,4,A
female,high school,single,sometimes,yes,1,private,70,68,1,2,yes,5,14,F
female,high school,married,sometimes,yes,2,private,63,60,1,2,yes,2,2,D
male,high school,married,sometimes,no,2,school_bus,60,54,2,2,yes,4,18,C
male,some high school,single,sometimes,yes,2,school_bus,49,49,2,3,yes,3,10,F
female,some college,married,regularly,,4,school_bus,82,83,1,2,yes,4,4,C
female,some high school,single,sometimes,yes,3,private,70,70,1,1,yes,5,20,D
male,master's degree,married,sometimes,no,3,school_bus,80,72,3,2,no,1,2,B
male,high school,married,sometimes,yes,0,private,52,52,1,2,yes,5,0,F
female,some college,single,sometimes,no,1,school_bus,73,70,2,2,yes,5,14,D
female,associate's degree,single,sometimes,no,5,private,71,66,2,2,yes,3,2,D
male,associate's degree,married,regularly,,1,school_bus,78,78,1,1,yes,4,0,B
female,some high school,married,sometimes,yes,1,private,80,78,1,1,yes,3,0,D
male,some college,married,sometimes,no,2,school_bus,79,78,2,3,yes,4,0,C
female,some high school,married,regularly,no,2,private,50,52,3,1,yes,3,6,F
female,high school,single,sometimes,yes,1,private,93,90,2,1,yes,2,4,A
male,high school,married,sometimes,no,2,private,73,68,1,1,yes,4,16,C
male,some high school,divorced,sometimes,no,1,school_bus,41,40,1,2,yes,3,8,F
female,bachelor's degree,married,sometimes,no,2,school_bus,73,79,1,1,yes,3,0,D
female,high school,married,regularly,no,3,school_bus,73,78,2,1,yes,4,0,C
female,associate's degree,married,regularly,yes,5,school_bus,94,99,3,2,yes,3,6,A
female,some college,married,sometimes,no,2,school_bus,76,70,1,1,yes,2,4,C
male,bachelor's degree,married,sometimes,yes,2,school_bus,63,61,2,1,no,3,0,D
male,some college,single,regularly,yes,1,,48,42,1,1,yes,4,0,F
female,associate's degree,single,regularly,yes,2,private,53,59,2,1,yes,4,2,F
female,some college,married,sometimes,no,2,private,70,71,1,4,yes,2,6,D
male,some college,widowed,,yes,1,school_bus,83,74,1,2,yes,3,12,B
male,bachelor's degree,married,sometimes,no,3,school_bus,78,73,1,2,yes,2,8,B
female,some high school,married,sometimes,yes,3,private,90,91,1,4,yes,4,0,B
female,,single,sometimes,no,4,school_bus,62,73,1,2,yes,1,21,F
female,some high school,married,sometimes,yes,1,school_bus,86,80,1,2,yes,3,2,D
male,bachelor's degree,widowed,sometimes,no,2,school_bus,56,57,1,3,no,3,1,C
male,high school,divorced,sometimes,no,,private,48,46,1,3,no,2,4,F
female,bachelor's degree,divorced,regularly,no,3,school_bus,80,86,1,3,yes,3,0,C
female,some college,,never,yes,2,school_bus,76,76,2,2,yes,2,13,D
female,some high school,married,regularly,yes,0,private,45,46,1,2,yes,4,2,F
male,associate's degree,married,never,yes,3,school_bus,80,79,2,2,yes,3,8,C
male,associate's degree,married,regularly,yes,0,private,83,90,1,2,yes,4,10,A
female,some high school,married,sometimes,no,1,school_bus,87,80,2,2,yes,3,0,D
male,bachelor's degree,single,sometimes,yes,0,,73,74,1,2,yes,3,15,B
male,some high school,married,sometimes,yes,1,school_bus,77,78,1,4,yes,5,4,C
male,associate's degree,married,sometimes,no,2,school_bus,70,68,2,2,no,4,2,C
male,some high school,married,sometimes,yes,2,private,71,68,1,2,no,5,2,B
male,some high school,married,never,yes,1,private,59,55,2,2,yes,3,2,D
female,bachelor's degree,married,sometimes,yes,,school_bus,74,76,2,2,yes,4,6,D
male,high school,single,regularly,yes,3,school_bus,78,82,2,2,yes,1,75,B
male,associate's degree,married,never,yes,1,school_bus,61,59,2,1,yes,2,22,D
male,some high school,widowed,regularly,no,2,school_bus,41,44,1,2,yes,4,15,F
male,associate's degree,single,regularly,no,1,school_bus,75,69,2,1,yes,2,8,C
male,,single,regularly,no,2,private,45,50,2,1,yes,5,30,F
male,associate's degree,married,regularly,no,2,,86,75,1,1,yes,4,19,B
male,some college,married,never,yes,2,private,75,77,2,4,no,2,1,C
male,some high school,divorced,regularly,no,4,school_bus,53,52,2,2,yes,4,4,F
female,associate's degree,single,never,yes,5,school_bus,83,80,1,2,yes,4,4,D
male,associate's degree,married,regularly,yes,1,school_bus,77,65,1,2,yes,3,2,B
female,associate's degree,married,regularly,yes,2,school_bus,76,85,1,3,yes,3,5,C
male,some college,,sometimes,yes,7,private,67,69,1,3,yes,3,6,D
male,some college,divorced,regularly,yes,5,private,88,83,1,3,yes,2,6,A
male,some high school,single,regularly,no,2,,52,45,1,2,yes,4,9,F
female,associate's degree,married,regularly,no,3,private,73,70,1,2,yes,3,11,F
female,high school,single,regularly,yes,5,,56,52,1,3,yes,2,0,F
female,associate's degree,married,sometimes,no,2,school_bus,76,80,1,2,yes,4,12,C
male,bachelor's degree,married,never,yes,3,school_bus,58,54,2,4,no,1,6,D
male,bachelor's degree,single,sometimes,yes,0,private,61,68,2,3,yes,4,8,D
female,associate's degree,single,sometimes,yes,2,private,68,70,1,1,yes,4,4,C
male,high school,married,regularly,no,3,private,66,66,2,2,yes,3,0,C
female,master's degree,widowed,never,yes,3,private,80,88,2,2,yes,4,10,C
male,associate's degree,single,sometimes,no,1,school_bus,72,78,1,4,yes,3,0,B
male,bachelor's degree,married,sometimes,yes,,private,69,67,1,1,yes,4,5,D
female,associate's degree,single,regularly,no,1,school_bus,64,63,1,2,yes,2,14,F
female,high school,divorced,sometimes,yes,2,,77,82,2,1,yes,1,0,D
female,high school,married,never,no,3,private,85,78,2,3,yes,3,0,C
female,some college,married,regularly,yes,2,private,80,80,1,4,yes,2,0,C
female,some high school,married,sometimes,yes,5,private,52,51,1,2,yes,4,20,F
female,high school,divorced,sometimes,no,1,,45,42,1,2,yes,4,8,F
female,some college,single,sometimes,yes,3,school_bus,90,94,1,1,no,5,0,B
male,some college,married,sometimes,yes,1,school_bus,61,62,2,1,yes,3,38,D
male,some college,married,regularly,yes,2,school_bus,23,19,1,2,no,5,0,F
male,associate's degree,married,sometimes,yes,5,school_bus,75,77,1,2,yes,4,18,B
female,some high school,married,sometimes,yes,2,school_bus,54,49,1,2,no,2,0,F
male,high school,single,regularly,yes,,school_bus,59,61,3,2,yes,4,20,C
male,associate's degree,,sometimes,no,3,private,36,34,1,2,yes,5,3,F
male,associate's degree,married,never,no,3,school_bus,55,52,2,2,yes,2,22,D
male,associate's degree,single,sometimes,yes,1,school_bus,78,81,1,3,yes,1,14,A
female,bachelor's degree,,sometimes,yes,1,,93,95,1,3,yes,1,40,B
female,some college,married,regularly,yes,2,,69,67,2,2,yes,3,0,D
male,some high school,married,regularly,no,,private,71,70,1,3,yes,3,9,C
male,associate's degree,single,regularly,yes,2,,51,44,1,3,yes,3,0,F
female,some high school,single,sometimes,no,3,school_bus,37,26,1,2,yes,4,2,F
female,some high school,married,sometimes,yes,3,school_bus,55,60,1,2,yes,2,23,F
male,high school,married,regularly,yes,1,school_bus,62,54,1,2,no,2,12,D
female,,married,regularly,yes,0,,74,64,1,3,yes,3,3,D
female,,single,sometimes,yes,1,school_bus,74,72,1,3,yes,4,1,D
male,associate's degree,single,sometimes,yes,3,private,70,65,2,3,yes,3,0,D
male,some college,,regularly,yes,2,school_bus,72,67,1,3,yes,3,3,C
female,high school,married,sometimes,yes,4,private,80,75,1,1,yes,3,3,C
male,,married,sometimes,no,2,school_bus,61,57,4,1,yes,4,8,D
female,bachelor's degree,married,regularly,yes,0,,93,95,1,3,yes,4,7,C
male,associate's degree,divorced,regularly,yes,2,private,76,79,2,3,yes,3,4,A
female,bachelor's degree,married,sometimes,yes,0,private,65,69,1,4,yes,5,2,F
male,some college,married,,no,4,school_bus,57,53,1,3,yes,4,7,D
female,some college,married,sometimes,no,1,school_bus,76,78,1,2,yes,3,0,D
female,associate's degree,married,regularly,no,1,private,57,57,1,2,yes,3,0,F
female,some college,married,never,yes,2,,68,66,2,4,no,4,0,F
female,bachelor's degree,single,regularly,no,3,school_bus,74,73,1,3,yes,4,16,D
male,,married,sometimes,no,2,private,61,61,1,3,no,4,12,D
female,some college,married,sometimes,yes,1,private,65,67,1,2,yes,3,0,F
female,some college,divorced,sometimes,no,1,private,88,87,1,4,yes,3,7,C
female,high school,married,never,yes,1,school_bus,61,57,1,2,yes,3,4,F
male,some high school,single,regularly,yes,3,private,85,79,1,3,yes,3,4,B
female,some college,single,regularly,no,2,private,58,59,1,2,yes,3,0,F
female,some high school,single,sometimes,no,3,school_bus,33,31,1,2,yes,3,11,F
male,some college,divorced,regularly,yes,1,school_bus,60,59,1,2,yes,3,0,D
male,bachelor's degree,married,regularly,no,2,private,59,62,1,3,yes,3,4,F
male,high school,married,sometimes,yes,2,,58,53,1,3,yes,4,7,D
male,bachelor's degree,married,regularly,,3,private,67,63,1,3,yes,3,9,D
female,some high school,single,sometimes,yes,2,private,64,58,1,3,yes,4,0,F
female,some high school,single,regularly,yes,5,school_bus,83,84,1,3,yes,4,0,C
male,some college,married,regularly,yes,3,private,78,72,2,1,yes,5,10,B
female,some college,single,sometimes,no,4,school_bus,73,70,3,2,yes,4,8,F
male,some high school,single,sometimes,yes,0,private,75,73,2,2,yes,5,2,C
female,some college,married,sometimes,yes,1,private,98,97,1,1,yes,3,7,B
female,bachelor's degree,married,sometimes,yes,0,,71,74,3,1,yes,4,4,D
female,some high school,single,sometimes,no,2,school_bus,91,83,2,2,yes,5,4,B
female,master's degree,single,sometimes,yes,,private,95,100,1,2,no,3,0,B
female,some high school,single,sometimes,no,1,private,84,78,2,2,yes,3,4,C
male,bachelor's degree,married,regularly,yes,1,private,64,63,2,2,no,2,2,D
female,associate's degree,single,sometimes,yes,1,school_bus,86,83,2,1,yes,3,4,B
male,associate's degree,divorced,sometimes,yes,0,private,98,93,2,3,yes,3,0,B
male,master's degree,married,sometimes,no,2,,82,73,3,2,no,3,0,C
female,some high school,divorced,regularly,yes,3,private,50,47,2,2,no,4,2,F
female,some high school,divorced,never,no,5,private,41,40,2,2,yes,3,0,F
female,some college,divorced,regularly,yes,2,private,77,76,1,2,yes,3,0,D
female,bachelor's degree,single,sometimes,yes,0,school_bus,71,68,2,2,no,2,0,D
